Application Date,Planned Completion Date,Facility Name,Facility Owner,Operation Type,Permit Number,Project Type,School Address,School Level,School Name,School Website,Status,URL,Description,Planned Start Date
1/30/18,3/2/18,BETHUNE ES,,Renovation,AN18-000117,Incidental Removal Project,,Elementary/Middle,Mary M. Bethune School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77825768&permit_ID=4066075,"BETHUNE ES - REM 250 SF OF CLASSROOM 219 AND 200 SF OF VAT IN BASEMENT CLASSROOM 1, ""REM 1 LF ACPFI in 1st Floor Hall by Room 123.""",1/31/18
1/30/18,2/2/18,BRIDESBURG ES,,Renovation,AN18-000127,Incidental Removal Project,,Elementary/Middle,Bridesburg School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77826278&permit_ID=4066447,BRIDESBURG ES - REM 10 SF TRANSITE PARTITION IN STAFF RESTROOM BESIDE 214.,1/31/18
1/30/18,2/16/18,HANCOCK ES,,Renovation,AN18-000122,Small Removal Project,,Elementary/Middle,John Hancock Demonstration School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77826189&permit_ID=4066387,"HANCOCK ES - REM 3 LF ACPFI IN IMC STORAGE ROOM, REM 2 SF OF VAT IN GYM OFFICE, 16 SF OF VAT IN 2 CLOSETS IN PRINCIPAL OFFICE.",1/31/18
1/31/17,2/10/17,B. FRANKLIN HS,,Renovation,AN17-000103,Minor Removal Project,,High,Benjamin Franklin High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76885242&permit_ID=3510518,"B. FRANKLIN HS - REM <1 LF ACPI IN STAIRWAY C 5TH FLOOR LANDING AND 12 LF ACPFI IN LOADING DOCK, REM 130 SF of VAT in 2nd Floor Women's Room and 50 SF of VAT in Hall outside Room 13, REM 72 SF of VAT in Room 310.",2/1/17
1/31/19,3/4/19,FRANKFORD HS,,Emergency Renovation,AN19-000118,Minor Removal Project,,High,Frankford High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79104074&permit_ID=4958754,"FRANKFORD HS - REM 10 LF ACPI IN ELECTRICAL ROOM, 2 LF ACPFI IN GROUND FLOOR WOMEN'S CAFE RESTROOM, REM ""16"" LF ACPI IN GROUND FLOOR STORAGE ROOM 2, REM 4 LF ACPI IN AUDITORIUM, ""REM 278 SF of 9x9 VAT & 42 SF of 12x12 VAT in 325 Culinary Kitchen Storage Room"".",1/31/19
1/31/20,4/30/20,Andrew Hamilton School,,Renovation,AN20-000118,Non Friable Removal,,Elementary/Middle,Andrew Hamilton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81347797&permit_ID=6859399,Phase 3 Abatement at 5640 Spruce Street - Non Friable abatement: 3128 SF Tile utilizing Heat Machine (see Alt Method Request) 80 SF Sink Undercoat Mastic 715 SF Blackboard Glue Dots 2 SF Mastic under tile 10 SF Vibration Damper Cloth,2/18/20
2/1/16,9/30/16,Widener Memorial School,,Renovation,AN16-000156,Major Removal Project,,Elementary/Middle/High,Widener Memorial School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75592695&permit_ID=2636718,Fri duct insulation computer lab/swimming pool area & 2nd Fl Penthouses Fri pipe insulation 2nd Fl Penthouses Fri pipe fitting insulation 2nd Fl Penthouses Fri Saddle Block Insulation 2nd Fl Penthouses,2/16/16
2/1/18,2/23/18,G. WASHINGTON HS,,Emergency Renovation,AN18-000134,Incidental Removal Project,,High,George Washington High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77829821&permit_ID=4068305,"G. WASHINGTON HS - REM 750 SF OF VAT IN ROOM 210 & 20 SF OF VAT IN ROOM 104 NURSES SUITE BATHROOM, ""REM 3 LF ACPFI in beacon room/old faculty kitchen"".",2/1/18
2/1/18,3/2/18,AMY @ J. Martin MS,,Renovation,AN18-000135,Minor Removal Project,,Middle,Alternative Middle Years at James Martin,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77829848&permit_ID=4068327,"AMY @ J. MARTIN MS - REM 8 SF OF VAT IN 3RD FLR HALL IN FRONT OF SERVICE SINK, 18 SF OF VAT IN 1ST FLOOR MAIN ENTRANCE, CAP 1 LF ACPI IN 210 CLOSET, 1 LF ACPI IN 101, 1 LF ACPI IN 201, <1 LF ACPFI IN HALL OUTSIDE BOY'S RESTROOM UTILITY ENTRY, ,1 LF ACPIF IN HALL BETWEEN RICHMOND & SALMON STAIRS, 1 LF ACPI IN HALL AT BE RESTROOM TO EXIT, 1 LF ACPI IN HALL FROM 203 TO 207, 2 LF ACPI IN 108, 2 LF ACPI &1 LF ACPFI IN 107, 2 LF ACPI & REM 3 LF ACPFI IN 106; REM 21 LF ACPI & 2 LF ACPFI IN 2ND FLOOR TE",2/1/18
2/1/21,2/27/21,G. WASHINGTON HS ANNEX,,Renovation,AN21-000118,Minor Removal Project,,High,George Washington High School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83086828&permit_ID=8046768,G. WASHINGTON HS ANNEX - REM 6 LF ACPFI IN 2ND FLOOR ANNEX ABOVE CEILING FROM CLASSOOMS 501-507.,2/2/21
2/1/21,3/20/21,HARTRANFT ES,,Renovation,AN21-000119,Minor Removal Project,,Elementary/Middle,John F. Hartranft School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83086960&permit_ID=8046852,HARTRANFT ES - REM 5 LF ACPFI IN GYM.,2/3/21
2/2/16,3/11/16,SULLIVAN ES,,Renovation,AN16-000171,Major Removal Project,,Elementary,James J. Sullivan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75585877&permit_ID=2637396,SULLIVAN ES - REVISION - API & AIR MONITORING FIRM CHANGED AS WELL AS TEM LAB.,2/8/16
2/2/16,2/12/16,SOLIS-COHEN ES,,Renovation,AN16-000172,Minor Removal Project,,Elementary,Solomon Solis-Cohen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75593918&permit_ID=2637496,SOLIS-COHEN ES - REM 150 SF OF VAT IN ROOM 15 CLOSET.,2/3/16
2/2/16,2/12/16,DICK ES,,Renovation,AN16-000173,Minor Removal Project,,Elementary/Middle,William Dick School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75593940&permit_ID=2637511,DICK ES - REM 10 LF ACPI IN ROOM 213.,2/3/16
2/2/17,2/3/17,LOESCHE ES,,Emergency Renovation,AN17-000110,Small Removal Project,,Elementary,William H. Loesche School,,Approved-ABS,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76888550&permit_ID=3512339,LOESCHE ES - REM 3 LF ACPFI IN ROOM 104 TEACHERS LOUNGE.,2/2/17
2/2/18,2/2/18,OLNEY ES,,Renovation,AN18-000143,Incidental Removal Project,,Elementary/Middle,Olney School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77832797&permit_ID=4070431,OLNEY ES - CAP <1 LF ACPI ON RISER IN 3RD FLOOR HALL OUTSIDE ROOM 311.,2/2/18
2/3/16,2/12/16,RR Wright ES,,Renovation,AN16-000181,Minor Removal Project,,Elementary,Richard R. Wright School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75594938&permit_ID=2638107,RR Wright ES - REM 120 SF of VAT in Room 121.,2/4/16
2/3/16,2/5/16,MEADE ES,,Emergency Renovation,AN16-000180,Minor Removal Project,,Elementary/Middle,General George G. Meade School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75594768&permit_ID=2638006,MEADE ES - REM 30 LF ACPI IN CAFETERIA EAST WALL SIDE (6 RISERS~5 LF EACH).,2/3/16
2/3/16,2/12/16,PALUMBO ACADEMY,,Renovation,AN16-000174,Incidental Removal Project,,High,Academy at Palumbo,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75484202&permit_ID=2637690,PALUMBO ACADEMY - REVISION - START & COMPLETION DATES CHANGED TO 02/03/16 - 02/12/16,2/3/16
2/3/17,2/17/17,JOHN MOFFET ELEMENTARY,,Renovation,AN17-000114,Minor Removal Project,,Elementary,John Moffet School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76889121&permit_ID=3512664,REMOVAL OF TRANSITE PANELS FROM COOLING TOWER ON EXTERIOR ROOF,2/8/17
2/3/21,2/10/21,Avery D Harrington Elementary School,,Renovation,AN21-000125,Major Removal Project,,Elementary/Middle,Avery D. Harrington School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83093318&permit_ID=8051211,Removal of ACPI and Patch and Repair ACPI,2/4/21
2/4/16,8/5/16,DUCKREY ES,,Renovation,AN16-000192,Minor Removal Project,,Elementary/Middle,Tanner G. Duckrey School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75595777&permit_ID=2638609,"DUCKREY ES - REM 95 SF VAT IN GYMNASIUM, 200 SF VAT IN BASEMENT ARE BY BOILER ROOM, 250 SF OF VAT IN CONFERENCE ROOM ADJACENT TO PRINCIPALS OFFICE & 2400 SF OF VAT IN 1ST FLOOR HALL -118 TO ELEVATOR. REM 2300 SF VAT IN 1ST FLR HALL FROM ELEVATOR TO EAST END (INCLUDING EXIT LANDING), REM 2300 SF of VAT in 1st Floor Hall & REM 4800 SF of VAT in 2nd Floor Hallway.",2/5/16
2/4/16,2/19/16,LOESCHE ES,,Renovation,AN16-000193,Minor Removal Project,,Elementary,William H. Loesche School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75595824&permit_ID=2638634,"LOESCHE ES - REM 4 SF VAT IN CAFETERIA, REM 4 SF OF VAT IN MAIN ENTRNACE, REM 14 SF OF VAT IN GYM, REM 4 SF OF VAT IN GYM, REM 4 SF VAT IN GYM-RIGHT SIDE DOORS, REM 6 SF VAT IN AUDITORIUM.",2/8/16
2/4/16,2/5/16,MEADE ES,,Renovation,AN16-000186,Minor Removal Project,,Elementary/Middle,General George G. Meade School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75594768&permit_ID=2638391,MEADE ES - REVISION - ADD REM 8 LF ACPI IN CAFE CLOSET.,2/3/16
2/4/19,2/19/19,PARKWAY CENTER CITY HS @ FLEISHER,,Renovation,AN19-000122,Major Removal Project,,High,Parkway Center City Middle College High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79123165&permit_ID=4961139,PARKWAY CENTER CITY HS @ FLEISHER - REM 197 LF ACPI IN SYOP CLASSROOM 102.,2/14/19
2/4/19,2/5/19,MASTERMAN HS,,Emergency Renovation,AN19-000124,Minor Removal Project,,Middle/High,Julia R. Masterman School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79123818&permit_ID=4961599,MASTERMAN HS - REM 6 LF ACPI IN ROOM 101.,2/4/19
2/4/20,3/31/20,Wagner Middle School,,Renovation,AN20-000136,Major Removal Project,,Middle,General Louis Wagner School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81360699&permit_ID=6869387,"ACPI, VAT NOTE: Pepper called to postpone start to Monday 2/17. ES 2/14 9:30 AM",2/17/20
2/4/21,5/1/21,CW HENRY ES,,Renovation,AN21-000129,Major Removal Project,,Elementary/Middle,Charles W. Henry School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83095722&permit_ID=8052735,CW Henry ES - See attached location list,2/5/21
2/5/16,3/4/16,DOBBINS HS,,Renovation,AN16-000195,Major Removal Project,,High,Murrell Dobbins Career and Technical High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75598963&permit_ID=2639778,"DOBBINS HS - REM 12 LF ACPI IN ROOM 618, REM 12 LF ACPI IN ROOM 619, REM 24 LF ACPI IN BOOK CLOSET BETWEEN ROOMS 618 & 619, CAP 15 LF ACPI IN STORAGE ROOM 009, CAP 10 LF ACPI IN STORAGE ROOM 010.",2/8/16
2/5/18,3/2/18,ETHEL ALLEN ES,,Renovation,AN18-000145,Incidental Removal Project,,Elementary/Middle,Dr. Ethel Allen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77865156&permit_ID=4100736,"ETHEL ALLEN ES - REM 50 SF OF VAT IN ROOM 213, 4 SF OF VAT IN HALL OUTSIDE ROOM 213, 70 SF OF VAT IN ROOM 211 ENTRANCE.",2/6/18
2/5/18,3/16/18,GREENBERG ES,,Renovation,AN18-000144,Incidental Removal Project,,Elementary/Middle,Joseph Greenberg School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77865119&permit_ID=4100707,"GREENBERG ES - REM 16 SF OF VAT IN BACK OF AUDITORIUM, REM ""1200"" SF OF VAT IN AUDITORIUM STAGE.",2/6/18
2/5/18,3/2/18,ELKIN ES,,Renovation,AN18-000147,Incidental Removal Project,,Elementary,Lewis Elkin School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77865187&permit_ID=4100758,"ELKIN ES - REM 30 SF OF VAT IN ELEVATOR CAR, 5 SF OF VAT IN DATA ROOM 115, 10 SF OF VAT IN ROOM 202, 636 SF OF VAT IN CLASSROOM 104, REM <1 LF ACPFI & CAP <1 SF OF TANK INSULATION IN THE BOILER ROOM.",2/6/18
2/5/18,2/23/18,MASTBAUM HS,,Renovation,AN18-000148,Minor Removal Project,,High,Jules E. Mastbaum Area Vocational Technical High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77865324&permit_ID=4100844,"MASTBAUM HS - REM 10 LF ACPI & ""12 LF ACPI"" IN BASEMENT BOILER ROOM, ""REM 10 LF ACPI & 5 LF ACPFI in IT Room 506.""",2/6/18
2/5/21,2/9/21,Kensington High School,,Renovation,AN21-000131,Minor Removal Project,,High,Kensington High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83098352&permit_ID=8054220,Pipe Risers & ACPFI,2/8/21
2/5/21,2/13/21,PENNELL ES,,Renovation,AN21-000132,Minor Removal Project,,Elementary,Joseph Pennell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83099192&permit_ID=8054928,"PENNELL ES - REM 5 LF ACPI & 3 LF ACPIF IN COUNSLEOR OFFICE 205A, 12 LF ACPI IN HALLWAY H29 OUTSIDE 201-207, CAP 1 LF ACPI IN LIBRARY IMC 109, 1 LF ACPI IN 201, 1 LF ACPI IN GIRL'S SIDE STAIRWELL s06.",2/8/21
2/6/19,2/22/19,B FRANKLIN HS,,Renovation,AN19-000127,Incidental Removal Project,,High,Benjamin Franklin High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79128239&permit_ID=4963783,B. FRANKLIN HS - REM 1 LF ACPFI IN 3RD FLOOR BOY'S RESTROOM.,2/7/19
2/6/19,3/4/19,MEREDITH ES,,Renovation,AN19-000128,Minor Removal Project,,Elementary/Middle,William M. Meredith School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79128471&permit_ID=4963968,"MEREDITH ES - REM 6 LF ACPI IN GYM EAST WALL, 20 SF OF VAT IN LUNCHROOM, 3 LF ACPI & 1 SF OF DEBRIS IN HALL OUTSIDE 207, 2 LF ACPI & 1 SF OF DEBRIS IN HALL OUTSIDE 202, 1 LF ACPI IN BASEMENT HALL BY CAFE/BOY'S RESTROOM, CAP <1 LF ACPFI IN B5, CAP 1 LF ACPI & <1 LF ACPFI IN GYM, <1 LF & 3 LF ACPI IN BASEMENT HALL, <1 LF ACPFI IN GYM OFFICE 015, 1 LF ACPI IN STAIRWELL ACROSS 103, <1 LF ACPFI IN OFFICE 106B, <1 LF ACPFI & 1 LF ACPI IN STORAGE ROOM ACROSS 201, 1 LF ACPI IN 301, 1 LF ACPI IN FACULTY",2/7/19
2/6/20,2/6/20,SHAWMONT ES,,Emergency Renovation,AN20-000152,Small Removal Project,,Elementary/Middle,Shawmont School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81366338&permit_ID=6872699,SHAWMONT ES - REM 2 LF ACPFI IN WOMEN'S RESTROOM NP2 NEAR CLASSROOM 101.,2/6/20
2/6/20,2/29/20,Weir Mitchell Elementary School,,Renovation,AN20-000150,Major Removal Project,,Elementary/Middle,S. Weir Mitchell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81366225&permit_ID=6872629,Removal of Pipe Insulation in the Crawlspace using Glove bag method. Removal of Pipe Insulation in the Gymnasium under full containment with alt method requests.,2/11/20
2/6/20,2/9/20,BARTON ES,,Emergency Renovation,AN20-000157,Minor Removal Project,,Elementary,Clara Barton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81366508&permit_ID=6872808,"BARTON ES - CAP 7 LF ACPI & 1 LF ACPFI IN KITCHEN, CAP 1 LF ACPI IN MAIN OFFICE, CAP 5 LF ACPI IN B8.",2/6/20
2/6/20,2/28/20,Rowen William School,,Renovation,AN20-000148,Minor Removal Project,,Elementary,William Rowen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81365826&permit_ID=6872393,Removal of 20 LF Pipe Insulation in Boiler Room near Generator,2/20/20
2/6/20,2/9/20,MCCLOSKEY ES,,Renovation,AN20-000153,Non Friable Removal,,Elementary/Middle,John F. McCloskey School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81366365&permit_ID=6872722,MCCLOSKEY ES - REM 1500 SF OF VAT IN CLASSROOM 210.,2/7/20
2/7/19,2/15/19,STEARNE ES,,Renovation,AN19-000138,Minor Removal Project,,Elementary/Middle,Allen M. Stearne School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79130903&permit_ID=4965473,Stearne ES - REM 4 LF ACPFI & 5 LF Cap Insulation in the Boiler Room.,2/8/19
2/7/20,2/9/20,FITZPATRICK ES,,Renovation,AN20-000165,Incidental Removal Project,,Elementary/Middle,A.L. Fitzpatrick School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81368694&permit_ID=6873947,FITZPATRICK ES - CAP <1 LF ACPFI IN STAIRS NEAR CLASSROOM B2 AND CAP <1 LF ACPFI IN GYM OFFICE.,2/7/20
2/7/20,3/20/20,Hopkinson Elementary School,,Renovation,AN20-000161,Major Removal Project,,Elementary/Middle,Francis Hopkinson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81368105&permit_ID=6873565,Removal of Asbestos Pipe Insulation throughout building,2/8/20
2/7/20,2/11/20,Roosevelt Elementary School,,Renovation,AN20-000160,Non Friable Removal,,Elementary/Middle,Theodore Roosevelt School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81367971&permit_ID=6873476,Removal of 40 SF of blackboard glue dots,2/10/20
2/8/16,2/19/16,FORREST ES,,Renovation,AN16-000201,Incidental Removal Project,,Elementary,Edwin Forrest School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75607379&permit_ID=2646773,FORREST ES - REM 1 LF ACPFI IN FAN ROOM TUNNEL.,2/9/16
2/8/16,2/3/17,GREENFIELD ES,,Renovation,AN16-000202,Minor Removal Project,,Elementary/Middle,Albert M. Greenfield School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75607407&permit_ID=2646786,"GREENFIELD ES - REM 15 SF OF VAT IN BASEMENT HALL BY GYMNASIUM, REM 25 SF OF VAT IN BASEMENT HALL BY ELEVATOR, REM 8 SF OF VAT IN BASEMENT HALL BY STUDENT RESTROOM, AND REM 6 SF OF VAT IN FIRST FLOOR 22nd STREET STAIRWELL EXIT.",3/14/16
2/8/16,3/11/16,MAYFAIR ES,,Renovation,AN16-000204,Minor Removal Project,,Elementary/Middle,Mayfair School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75607436&permit_ID=2646801,"MAYFAIR ES - REM 8 LF OF COVE BASE (EACH AREA) IN STORAGE CLOSETS 168, 177, 216A & 201A.",2/9/16
2/8/16,2/26/16,ROOSEVELT MS,,Renovation,AN16-000205,Minor Removal Project,,Elementary/Middle,Theodore Roosevelt School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75607455&permit_ID=2646818,ROOSEVELT MS - REM 14 LF ACPI IN GIRLS CAFETERIA AND 300 SF OF VAT IN STORAGE CLOSET 211.,2/9/16
2/8/16,4/29/16,CASSIDY ES,,Renovation,AN16-000206,Minor Removal Project,,Elementary/Middle,Lewis C. Cassidy Academics Plus School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75607479&permit_ID=2646854,"CASSIDY ES - REM 16 LF ACPI in Fan Room, REM 1 EA ACPFI in Basement Boy's Restroom, REM 4 LF ACPI in 1st FL Boy's Restroom near 110, REM 1 LF ACPI in Room 202 Closet, CAP <1 LF ACPI in Basement Hall near Boiler Room. REM 1 EA ACPFI in Basement Hall above Mural.",2/9/16
2/8/16,2/12/16,PATTERSON ES,,Renovation,AN16-000200,Minor Removal Project,,Elementary,John M. Patterson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75485105&permit_ID=2646687,PATTERSON ES - REVISION - START & COMPLETION DATES CHANGED TO 02/08/16 - 02/12/16.,2/8/16
2/8/17,3/24/17,SAUL HS,,Renovation,AN17-000132,Incidental Removal Project,,High,Walter B. Saul High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76896848&permit_ID=3516321,SAUL HS - REM <1 LF ACPFI IN NEW WING LOBBY AT CEILING.,3/6/17
2/8/19,2/23/19,STRAWBERRY MANSION HS,,Renovation,AN19-000144,Non Friable Removal,,High,Strawberry Mansion High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79133055&permit_ID=4966701,"STRAWBERRY MANSION HS - REM 850 SF OF VAT IN ROOM 201, 10 SF OF VAT IN 109B STAFF KITCHEN, 6 SF OF VAT IN CLASSROOM 307, 160 SF OF VAT IN CAFETERIA, 85 SF OF VAT IN 417.",2/9/19
2/8/19,2/22/19,DECATUR ES,,Renovation,AN19-000142,Minor Removal Project,,Elementary/Middle,Stephen Decatur School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79132964&permit_ID=4966617,DECATUR ES - REM 9 LF ACPFI IN BOILER ROOM.,2/11/19
2/9/16,3/25/16,DUCKREY ES,,Renovation,AN16-000208,Minor Removal Project,,Elementary/Middle,Tanner G. Duckrey School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75595777&permit_ID=2647103,"DUCKREY ES - REVISION - AMOUNT CHANGED FOR: REM ""5300 SF"" OF VAT IN ""GYM & GYM FOYER"" & ADD REM 280 SF OF VAT IN COPY ROOM, REM 30 sf of VAT in Kitchen Storage Closet.",2/5/16
2/9/18,2/6/18,GIDEON ES,,Emergency Renovation,AN18-000174,Minor Removal Project,,Elementary/Middle,Edward Gideon School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77872425&permit_ID=4104986,GIDEON ES - REM 12 LF ACPI IN KITCHEN.,2/6/18
2/9/18,3/2/18,CW HENRY ES,,Emergency Renovation,AN18-000173,Minor Removal Project,,Elementary/Middle,Charles W. Henry School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77872413&permit_ID=4104979,"CW HENRY ES - REM 16 LF ACPI IN GYM (EMERGENCY PROJECT), REM 50 SF OV VAT IN ROOM 112, ""REM 8 LF ACPI in Classroom B4 CLoset.",2/7/18
2/9/21,2/20/21,SHERIDAN ES,,Renovation,AN21-000143,Non Friable Removal,,Elementary,Philip H. Sheridan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83105231&permit_ID=8058713,SHERIDAN ES - REM 600 SF OF VAT IN 101 & 100 SF OF VAT IN 101 CLOSET 101C.,2/10/21
2/9/21,2/27/21,DECATUR ES,,Renovation,AN21-000142,Minor Removal Project,,Elementary/Middle,Stephen Decatur School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83105013&permit_ID=8058574,DECATUR ES - SEE ATTACHED LOCATION LOG,2/10/21
2/10/17,2/17/17,GIRLS HS,,Renovation,AN17-000143,Minor Removal Project,,High,Philadelphia High School for Girls,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76900021&permit_ID=3518189,"GIRLS HS - REM ""3"" LF ACPI IN 2ND FLOOR PIPECHASE - WEST SIDE.",2/13/17
2/10/17,4/14/17,Sheppard Elementary School,,Renovation,AN17-000139,Minor Removal Project,,Elementary,Isaac A. Sheppard School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76899118&permit_ID=3517648,VAT and ACPFI,2/13/17
2/10/20,2/16/20,GAMP HS,,Renovation,AN20-000169,Small Removal Project,,Middle/High,Girard Academic Music Program,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81392877&permit_ID=6896190,GAMP - REM 3 LF ACPFI IN CLASSROOM 206 I.T. CLOSET.,2/11/20
2/10/20,2/16/20,PENNELL ES,,Renovation,AN20-000170,Minor Removal Project,,Elementary,Joseph Pennell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81392899&permit_ID=6896221,PENNELL ES - REM 20 LF ACPI & CAP 7 LF ACPI IN CAFE/GYM.,2/11/20
2/10/21,2/20/21,MITCHELL ES,,Renovation,AN21-000153,Minor Removal Project,,Elementary/Middle,S. Weir Mitchell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83107841&permit_ID=8060593,MITCHELL ES - REM 9 LF ACPI & 2 SF DEBRIS IN HALLWAY FROM B1 TO REAR EXIT PAST BOY'S RESTROOM.,2/12/21
